;Date;Type;Country;Injury
80;24-Sep-2017;Unprovoked;USA;Laceration to upper arm
81;20-Sep-2017;Unprovoked;USA;Minor lacerations to sole of left foot
82;16-Sep-2017;Unprovoked;SPAIN;Lacerations to right foot
83;16-Sep-2017;Unprovoked;USA;Lacerations to left foot
84;15-Sep-2017;Invalid;SOUTH AFRICA;FATAL, but death was probably due to drowning
85;15-Sep-2017;;SAMOA;Injuries to hands and legs
86;Sep-2017;Boating;AUSTRALIA;sharks rammed boats, no injury to occupants
87;13-Sep-2017;Unprovoked;USA;Lacerations to left foot
88;10-Sep-2017;Unprovoked;AUSTRALIA;Minor injuries
89;10-Sep-2017;Unprovoked;AUSTRALIA;Minor lacerations to right hip
90;Reported 06-Sep-2017;Unprovoked;SOLOMON ISLANDS;Foot bitten
91;03-Sep-2017;Unprovoked;SOUTH AFRICA;FATAL
92;03-Sep-2017;Unprovoked;JAPAN;Injury to ankle & feet
93;02-Sep-2017;Unprovoked;USA;Lacerations to abdomen
94;02-Sep-2017;Unprovoked;USA;Lacerations to foot
95;02-Sep-2017;Unprovoked;USA;Minor injury to right hand
96;29-Aug-2017;Unprovoked;AUSTRALIA;No injury, board bitten
97;27-Aug-2017;Unprovoked;USA;Leg injured
98;26-Aug-2017;Invalid;SPAIN;Lacerations to left foot
99;26-Aug-2017;Unprovoked;NEW ZEALAND;No injury, shark bit canoe
100;23-Aug-2017;Unprovoked;USA;Not injured by shark but board bitten
101;18-Aug-2017;Unprovoked;BAHAMAS;Hand injured
102;10-Aug-2017;Unprovoked;USA;Minor cuts to sole & toes of left foot
103;05-Aug-2017;Unprovoked;EGYPT;Bite to right leg/hip
104;03-Aug-2017;Provoked;USA;Foot bitten by landed shark PROVOKED INCIDENT
105;01-Aug-2017;Boating;USA;No injury, bow of kayak bitten
106;31-Jul-2017;Unprovoked;USA;Lacerations to lower leg
107;29-Jul-2017;Invalid;USA;Abrasions and cuts to sole of foot
108;29-Jul-2017;Unprovoked;USA;Bite to left thigh / minor injury
109;27-Jul-2017;Unprovoked;BAHAMAS;Foot & ankle injured
110;Reported 26-Jul-2017;Unprovoked;BAHAMAS;Severe lacerations to left hand
111;24-Jul-2017;Unprovoked;ST HELENA, British overseas territory;Torso bitten
112;23-Jul-2017;Unprovoked;USA;Minor injury to hand
113;23-Jul-2017;Unprovoked;SPAIN;Abrasion to arm from shark's rough skin
114;22-Jul-2017;Unprovoked;USA;Foot bitten
115;20-Jul-2017;Invalid;USA;Foot injured
116;20-Jul-2017;Boating;USA;No injury, kayak bitten
117;20-Jul-2017;Unprovoked;USA;No injury, shark bit paddleboard
118;14-Jul-2017;Unprovoked;USA;Pulled off board by shark but no injury
119;14-Jul-2017;Unprovoked;AUSTRALIA;Minor injury, grazed by shark
120;11-Jul-2017;Boating;USA;No injury, kayak bitten
121;09-Jul-2017;Unprovoked;USA;Lower legs bitten
122;Reported 07-Jul-2017;Provoked;MEXICO;Hand bitten by hooked shark PROVOKED INCIDENT
123;07-Jul-2017;Unprovoked;SOUTH AFRICA;No injury, shark bit surfboard
124;02-Jul-2017;Invalid;COMOROS;Skull found in shark, a probable drowning & scavenging
125;29-Jun-2017;Invalid;USA;Arm injured by hook, not by a shark
126;21-Jun-2017;Unprovoked;USA;Left foot bitten
127;19-Jun-2017;Unprovoked;USA;1 to 2-inch laceration behind knee
128;18-Jun-2017;Unprovoked;USA;Leg bitten
129;18-Jun-2017;Unprovoked;REUNION;No injury, shark bit surfboard 
130;17-Jun-2017;Unprovoked;SPAIN;2-inch laceration to hand
131;2017.06.05;Unprovoked;FRENCH POLYNESIA;Injuries to hand and wrist
132;Reported 14-Jun-2017;Unprovoked;BAHAMAS;Fingernail pulled off 
133;11-Jun-2017;Unprovoked;AUSTRALIA;No injury, board bitten
134;10-Jun-2017;Unprovoked;AUSTRALIA;No injury, knocked off board
135;10-Jun-2017;Unprovoked;USA;Laceration to left foot
136;Reported 07-Jun-2017;Unprovoked;UNITED KINGDOM;Bruise to leg, cuts to hand sustained when he hit the shark
137;04-Jun-2017;Unprovoked;USA;Laceration to shin
138;02-Jun-2017;Unprovoked;BAHAMAS;Right forearm severed 
139;30-May-2017;Provoked;USA;Right hand bitten by hooked shark PROVOKED INCIDENT
140;28-May-2017;Unprovoked;USA;Lacerations to right arm
141;27-May-2017;Invalid;AUSTRALIA;Abrasion to right forearm from pectoral fin of a shark that leapt into his boat
142;12-May-2017;Unprovoked;UNITED ARAB EMIRATES;Right leg severely bitten
143;Reported 06-May-2017;Provoked;AUSTRALIA;Thigh nipped PROVOKED INCIDENT
144;05-May-2017;Unprovoked;MEXICO;FATAL
145;03-May-2017;Invalid;USA;Laceration to thigh, likely caused by surfboard fin
146;29-Apr-2017;Unprovoked;USA;Major injury to posterior thigh
147;29-Apr-2017;Unprovoked;SOUTH AFRICA;Minor injury to right calf
148;29-Apr-2017;Unprovoked;USA;Left foot bitten
149;29-Apr-2017;Unprovoked;REUNION;FATAL
150;27-Apr-2017;Unprovoked;NEW ZEALAND;Puncture wounds & laceration above knee
151;26-Apr-2017;Invalid;USA;Alleged laceration to left ankle
152;22-Apr-2017;Unprovoked;ST HELENA, British overseas territory;Calf & foot bitten
153;20-Apr-2017;Invalid;USA;Laceration & puncture wounds to left foot
154;17-Apr-2017;Unprovoked;USA;Minor bite to the foot
155;17-Apr-2017;Unprovoked;AUSTRALIA;FATAL
156;14-Apr-2017;Unprovoked;USA;Lower right leg severely injured
157;13-Apr-2017;Unprovoked;USA;Lacerations to right foot
158;12-Apr-2017;Unprovoked;USA;Lacerations to right foot
159;12-Apr-2017;Invalid;SOUTH AFRICA;Fatal, coroner unable to determine if the diver was alive or had drowned when incident took place.
160;11-Apr-2017;Unprovoked;USA;Calf bitten
161;10-Apr-2017;Unprovoked;USA;Laceration to calf
162;10-Apr-2017;Unprovoked;USA;Minor injury to left hand
163;06-Apr-2017;Unprovoked;USA;Foot injured
164;05-Apr-2017;Unprovoked;USA;Thigh nipped, minor injury
165;02-Apr-2017;Unprovoked;AUSTRALIA;No injury, shark bit off stern of kayak
166;02-Apr-2017;Unprovoked;USA;Lacerations to thighs
167;27-Mar-2017;Unprovoked;USA;Minor injury to left foot
168;19-Mar-2017;Unprovoked;AUSTRALIA;Minor
169;18-Mar-2017;Boating;USA;No injury, kayak bitten
170;11-Mar-2017;Unprovoked;PHILIPPINES;Right thigh injured 
171;Reported 09-Mar-2017;Unprovoked;BAHAMAS;Abrasions & lacerations to left leg and hand
172;25-Feb-2017;Unprovoked;AUSTRALIA;Hand bitten
173;24-Feb-2017;Unprovoked;AUSTRALIA;No injury, shark struck board
174;21-Feb-2017;Unprovoked;REUNION;Fatal
175;17-Feb-2017;Unprovoked;AUSTRALIA;Left leg severely bitten
176;11-Feb-2017;Unprovoked;USA;Injury to hand
177;06-Feb-2017;Provoked;BRAZIL;Minor injury to finger, PROVOKED INCIDENT
178;06-Feb-2017;Boating;SOUTH AFRICA;Shark damaged kayak, no injury to occupant
179;01-Feb-2017;Boating;USA;Shark bit boat, no injury to occupants
180;01-Feb-2017;Unprovoked;BAHAMAS;Lacerations to upper right arm
181;24-Jan-2017;Unprovoked;BRAZIL;Minor laceration to ring finger
182;22-Jan-2017;Unprovoked;USA;Puncture wounds to lower arm or hand
183;21-Jan-2017;Unprovoked;AUSTRALIA;Multiple injuries to arm, wrist and torso
184;13-Jan-2017;Unprovoked;AUSTRALIA;Injury to hand
185;13-Jan-2017;Unprovoked;USA;Minor injury to hand
186;09-Jan-2017;Unprovoked;INDONESIA;Injury to right wrist & forearm
187;Reported 08-Jan-2017;Invalid;AUSTRALIA;No attack, shark made a threat display
188;05-Jan-2017;Unprovoked;USA;Minor injuries to foot
189;03-Jan-2017;Invalid;AUSTRALIA;Minor injuries to foot & toes
190;27-Dec-2016;Unprovoked;USA;Lacerations to right forearm
191;24-Dec-2016;Unprovoked;AUSTRALIA;Buttock bitten
192;19-Dec-2016;Unprovoked;SOUTH AFRICA;No injury, but ski severely damaged
193;14-Dec-2016;Unprovoked;AUSTRALIA;Punctures to left foot/ankle
194;11-Dec-2016;Unprovoked;FRENCH POLYNESIA;Hand injured?
195;11-Dec-2016;Invalid;USA;Cuts to right ankle & foot
196;06-Dec-2016;Provoked;AUSTRALIA;Lacerations to both hands while attempting to land a hooked shark PROVOKED INCIDENT
197;01-Dec-2016;Unprovoked;AUSTRALIA;Injuries to foot & arm
198;28-Nov-2016;Provoked;AUSTRALIA;Laceration to right hand by hooked & gaffed shark. PROVOKED INCIDENT
199;14-Nov-2016;Unprovoked;USA;Injuries to right calf and thigh
200;30-Oct-2016;Unprovoked;USA;Lacerations to right foot and ankle
201;29-Oct-2016;Unprovoked;USA;Lacerations to right hand
202;24-Oct-2016;Unprovoked;AUSTRALIA;Lacerations to left thigh
203;21-Oct-2016;Unprovoked;USA;Left arm and leg injured
204;15-Oct-2016;Unprovoked;AUSTRALIA;Torso nipped
205;14-Oct-2016;Unprovoked;USA;Injuries to left calf
206;13-Oct-2016;Invalid;MEXICO;Shark breached cage, no injury to diver
207;12-Oct-2016;Unprovoked;AUSTRALIA;Minor wound to lower right leg & surfboard bitten
208;10-Oct-2016;Unprovoked;USA;Wounds to upper thigh and lower leg
209;02-Oct-2016;Unprovoked;USA;Cuts to dorsal surface of left foot
210;01-Oct-2016;Unprovoked;USA;Minor injuries
211;26-Sep-2016;Unprovoked;AUSTRALIA;4 deep lacerations to thigh
212;18-Sep-2016;Unprovoked;USA;Minor injury to thigh
213;18-Sep-2016;Unprovoked;USA;Lacerations to hands
214;18-Sep-2016;Unprovoked;USA;Lacerations to lower leg
215;17-Sep-2016;Unprovoked;USA;No injury, board bitten
216;17-Sep-2016;Unprovoked;AUSTRALIA;Struck by fin on chest & leg
217;16-Sep-2016;Unprovoked;AUSTRALIA;No injury: Knocked off board by shark
218;15-Sep-2016;Boating;AUSTRALIA;Shark rammed boat. No injury to occupant
219;11-Sep-2016;Unprovoked;USA;Minor injury to arm
220;07-Sep-2016;Unprovoked;USA;Severe lacerations to shoulder & forearm
221;06-Sep-2016;Unprovoked;NEW CALEDONIA;FATAL
222;05-Sep-2016;Unprovoked;USA;Lacerations & punctures to lower right leg
223;05-Sep-2016;Unprovoked;AUSTRALIA;No inury, board broken in half by shark
224;04-Sep-2016;Unprovoked;USA;Foot bitten
225;01-Sep-2016;Unprovoked;USA;Two toes broken & lacerated
226;Sep-2016;Invalid;MEXICO;No injury to divers, white shark breached cage
227;29-Aug-2016;Unprovoked;USA;Lacerations to right foot
228;29-Aug-2016;Unprovoked;USA;Minor injury to ankle
229;27-Aug-2016;Unprovoked;REUNION;Right arm severed, ankle severely bitten 
230;25-Aug-2016;Unprovoked;USA;Minor injury to ankle
231;07-Aug-2016;Unprovoked;BAHAMAS;Lacerations to left leg
232;06-Aug-2016;Unprovoked;USA;No inury, shark & board collided
233;04-Aug-2016;Unprovoked;USA;Big toe bitten
234;29-Jul-2016;Unprovoked;SPAIN;Lacerations to right hand
235;28-Jul-2016;Unprovoked;CHINA;Lacerations to leg
236;28-Jul-2016;Boating;AUSTRALIA;No injury, shark nudged kayak repeatedly
237;27-Jul-2016;Provoked;USA;Laceration to left forearm PROVOKED INCIDENT
238;26-Jul-2016;Unprovoked;AUSTRALIA;No injury. Leg rope severed, knocked off board by shark
239;24-Jul-2016;Unprovoked;JAPAN;Lacerations to left leg
240;23-Jul-2016;Unprovoked;AUSTRALIA;Calf bumped but no injury
241;23-Jul-2016;Unprovoked;BAHAMAS;Lacerations to face and right leg
242;20-Jul-2016;Provoked;AUSTRALIA;Laceration to left calf from hooked shark PROVOKED INCIDENT
243;17-Jul-2016;Boating;USA;No injury, shark bit trolling motor
244;16-Jul-2016;Unprovoked;USA;Minor injury to leg
245;16-Jul-2016;Unprovoked;USA;Minor injury to toes
246;15-Jul-2016;Unprovoked;USA;No injury, board damaged
247;15-Jul-2016;Unprovoked;USA;Puncture wounds to foot
248;Reported  14-Jul-2016;Unprovoked;BAHAMAS;Face bruised when partly blind shark collided with him
249;Reported 08-Jul-2016;Unprovoked;SPAIN;5 tiny puncture marks to lower leg, treated with hydrogen peroxide
250;08-Jul-2016;Boating;USA;No injury. Hull bitten, tooth fragment recovered
251;07-Jul-2016;Provoked;USA;Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT
252;07-Jul-2016;Boating;USA;No injury. Hull bitten, tooth fragment recovered
253;06-Jul-2016;Unprovoked;USA;Buttocks, thigh, left hand & wrist injured
254;04-Jul-2016;Provoked;AUSTRALIA;Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT
255;27-Jun-2016;Unprovoked;USA;Minor injury
256;25-Jun-2016;Unprovoked;USA;Foot injured
257;24-Jun-2016;Unprovoked;COLUMBIA;Severe bite to right hand
258;23-Jun-2016;Unprovoked;SOUTH AFRICA;Injuries to left leg & right hand
259;21-Jun-2016;Unprovoked;USA;Lacerations and punctures to foot
260;21-Jun-2016;Unprovoked;USA;Injuries to right calf
261;15-Jun-2016;Unprovoked;USA;Single puncture wound to arm
262;15-Jun-2016;Provoked;AUSTRALIA;No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT
263;14-Jun-2016;Unprovoked;USA;Injury to lower leg
264;11-Jun-2016;Unprovoked;USA;Laceration to wrist
265;07-Jun-2016;Invalid;USA;No injury, board damaged
266;05-Jun-2016;Unprovoked;USA;Leg bitten
267;05-Jun-2016;Unprovoked;AUSTRALIA;FATAL
268;04-Jun-2016;Unprovoked;EGYPT;Leg severely bitten, surgically amputated
269;02-Jun-2016;Unprovoked;AUSTRALIA;No injury, but sharks repeatedly hit their fins and guns
270;02-Jun-2016;Unprovoked;NEW CALEDONIA;Laceration to heel
271;31-May-2016;Unprovoked;AUSTRALIA;FATAL
272;29-May-2016;Unprovoked;USA;Injuries to arm and shoulder
273;29-May-2016;Unprovoked;USA;Injury to posterior right leg
274;22-May-2016;Unprovoked;USA;Puncture wounds to thigh
275;21-May-2016;Unprovoked;USA;Lacerations and puncture wounds to foot and ankle
276;21-May-2016;Unprovoked;USA;Back, arm & hand injured
277;18-May-2016;Unprovoked;USA;Ankle bitten
278;15-May-2016;Provoked;USA;Arm grabbed PROVOKED INCIDENT
279;03-May-2016;Unprovoked;USA;Minor lacerations to right shoulder
280;02-May-2016;Provoked;NEW ZEALAND;Foot bitten by landed shark PROVOKED INCIDENT
281;25-Apr-2016;Unprovoked;INDONESIA;Elbow bitten
282;23-Apr-2016;Unprovoked;USA;Minor injury to left foot
283;22-Apr-2016;Unprovoked;SOUTH AFRICA;No injury, surf-ski bitten
284;19-Apr-2016;Unprovoked;AUSTRALIA;Minor puncture wound to foot
285;18-Apr-2016;Provoked;FRENCH POLYNESIA;Laceration to knee by speared shark PROVOKED INCIDENT
286;18-Apr-2016;Provoked;FRENCH POLYNESIA;Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT
287;13-Apr-2016;Unprovoked;USA;Multiple bites to right arm
288;09-Apr-2016;Unprovoked;NEW CALEDONIA;FATAL
289;08-Apr-2016;Invalid;CAPE VERDE;"""Serious"""
290;07-Apr-2016;Unprovoked;USA;Left hand bitten
291;07-Apr-2016;Invalid;USA;Fell off board when spinner shark leapt from the water next to him. No injury to surfer
292;31-Mar-2016;Unprovoked;USA;Minor injury to left foot
293;30-Mar-2016;Unprovoked;AUSTRALIA;Severe injury to thigh
294;28-Mar-2016;Unprovoked;USA;Minor injury to arm. Possibly caused by smalll nurse shark
295;28-Mar-2016;Unprovoked;AUSTRALIA;No injury, board dented
296;26-Mar-2016;Provoked;BAHAMAS;Minor injury to chest PROVOKED INCIDENT
297;13-Mar-2016;Invalid;USA;Board reportedly bumped by shark. No injury
298;11-Mar-2016;Unprovoked;USA;Lacerations to right foot and ankle
299;10-Mar-2016;Unprovoked;Fiji;FATAL
300;04-Mar-2016;Unprovoked;USA;Superficial injury to foot
301;Reported 03-Mar-2016;Unprovoked;AUSTRALIA;Puncture wounds to right calf
302;02-Mar-2016;Unprovoked;BRAZIL;Minor injury to head
303;22-Feb-2016;Unprovoked;NEW CALEDONIA;Puncture wounds to right thigh
304; 19-Feb-2016;Unprovoked;NEW CALEDONIA;Forearm bitten
305;12-Feb-2016;Unprovoked;DOMINICAN REPUBLIC;Avulsion injury to lower leg
306;Reported 10-Feb-2016;Invalid;CAYMAN ISLANDS;Minor injury to wrist from Southern stingray
307;10-Feb-2016;Invalid;AUSTRALIA;No injury, knocked off board
308;05-Feb-2016;Unprovoked;AUSTRALIA;Foot nipped
309;04-Feb-2016;Unprovoked;AUSTRALIA;No injury, shark bit board
310;02-Feb-2016;Unprovoked;BRAZIL;Lacerations to scalp
311;29-Jan-2016;Boating;SOUTH AFRICA;No injury, shark capsized kayak
312;28-Jan-2016;Unprovoked;USA;Lacerations to both hands
313;25-Jan-2016;Unprovoked;USA;No injury
314;24-Jan-2016;Unprovoked;USA;Bruised ribs & tail bone, speargun broken and wetsuit cut
315;24-Jan-2016;Boating;UNITED ARAB EMIRATES;No injury to occupants, shark leapt into boat
316;23-Jan-2016;Unprovoked;USA;No injury
317;Reported 11-Jan-2016;Unprovoked;AUSTRALIA;Laceration to right foot
318;05-Jan-2016;Unprovoked;AUSTRALIA;Laceration to right calf
319;02-Jan-2016;Unprovoked;AUSTRALIA;Lacerations to arms & leg
320;26-Dec-2015;Boating;SOUTH AFRICA;No injury, kayak damaged
321;25-Dec-2015;Unprovoked;SPAIN;Lacerations to left forearm
322;22-Dec-2015;Unprovoked;USA;No injury, shark bit board
323;21-Dec-2015;Unprovoked;AUSTRALIA;No injury, shark leapt on surfboard
324;21-Dec-2015;Unprovoked;BRAZIL;Right hand & part of forearm removed
325;19-Dec-2015;Unprovoked;ARUBA;FATAL
326;13-Dec-2015;Boating;AUSTRALIA;No injury, shark rammed boat & bit motor
327;11-Dec-2015;Unprovoked;BAHAMAS;Bitten on thigh, abdomen & hand
328;08-Dec-2015;Unprovoked;SOUTH AFRICA;Lacerations to both hands and forearms
329;20-Nov-2015;Unprovoked;ECUADOR;Lacerations to left calf
330;16-Nov-2015;Unprovoked;USA;Right heel injured
331;15-Nov-2015;Unprovoked;USA;Leg injured
332;15-Nov-2015;Unprovoked;USA;Lacerations to hand
333;10-Nov-2015;Unprovoked;AUSTRALIA;Injury to left thigh
334;07-Nov-2015;Invalid;USA;Lower left leg injured
335;03-Nov-2015;Unprovoked;USA;Laceration to right ankle
336;01-Nov-2015;Unprovoked;USA;Injury to right ankle/calf & hand
337;01-Nov-2015;Unprovoked;MOZAMBIQUE;Arms severely injured, surgically amputated
338;30-Oct-2015;Unprovoked;AUSTRALIA;Minor injury
339;28-Oct-2015;Unprovoked;USA;Lacerations & puncture wounds to right thigh, calf & ankle
340;25-Oct-2015;Unprovoked;SOUTH AFRICA;Lacerations to right calf, knee & hip
341;21-Oct-2015;Unprovoked;USA;Lacerations to left hand
342;19-Oct-2015;Unprovoked;USA;Left foot bitten
343;17-Oct-2015;Unprovoked;MOZAMBIQUE;FATAL
344;17-Oct-2015;Invalid;USA;Left foot bitten by eel
345;17-Oct-2015;Unprovoked;USA;Severe injuries to lower legs. Foot later surgically amputated.
346;13-Oct-2015;Boating;USA;No injury, shark rammed kayak repeatedly
347;09-Oct-2015;Unprovoked;USA;Laceration to forearm
348;09-Oct-2015;Unprovoked;USA;Left leg severed below the knee, defense injuries to left hand
349;08-Oct-2015;Unprovoked;MOZAMBIQUE;Arm severely injured, surgically amputated
350;07-Oct-2015;Unprovoked;AUSTRALIA;Foot injured
351;05-Oct-2015;Unprovoked;USA;2 lacerations to ankle
352;05-Oct-2015;Unprovoked;USA;Foot & hands bitten
353;04-Oct-2015;Unprovoked;USA;Severe lacerations to left hand
354;29-Sep-2015;Unprovoked;USA;Laceration to heel, puncture wounds to dorsum of foot
355;26-Sep-2015;Unprovoked;AUSTRALIA;Laceration to leg
356;24-Sep-2015;Boating;USA;No injury, kayak damaged
357;20-Sep-2015;Unprovoked;USA;Minor injury to left ankle
358;20-Sep-2015;Unprovoked;USA;Severe laceration to left leg
359;20-Sep-2015;Unprovoked;USA;Significant injuries to leg
360;20-Sep-2015;Unprovoked;USA;Injury to right hand / wrist
361;19-Sep-2015;Boating;USA;No injury
362;18-Sep-2015;Unprovoked;USA;Lacerations to calf
363;17-Sep-2015;Unprovoked;USA;Injury to right foot
364;08-Sep-2015;Unprovoked;AUSTRALIA;Minor laceration to hand
365;06-Sep-2015;Unprovoked;USA;No injury, shark struck board, tossing her into the sea
366;05-Sep-2015;Provoked;USA;Laceration to dorsum of foot by hooked shark  PROVOKED INCIDENT
367;04-Sep-2015;Unprovoked;AUSTRALIA;Inuries to lower left leg & ankle
368;03-Sep-2015;Unprovoked;USA;Right foot bitten
369;01-Sep-2015;Unprovoked;THAILAND;Left foot & ankle bitten
370;Sep-2015;Unprovoked;FIJI;Leg bitten
371;29-Aug-2015;Unprovoked;USA;No injury, surfboard bitten
372;29-Aug-2015;Unprovoked;USA;No injury, shark struk sufer's leg and his board
373;22-Aug-2015;Invalid;USA;Wound to right lower leg
374;22-Aug-2015;Unprovoked;AUSTRALIA;Severe laceration to left buttock & thigh
375;20-Aug-2015;Unprovoked;USA;Injuries to left calf, arm and hand
376;19-Aug-2015;Unprovoked;USA;Lacerations to right leg
377;18-Aug-2015;Boating;USA;No injury, kayak bitten
378;18-Aug-2015;Invalid;SPAIN;Minor injury when he attempted to touch a fish. 
379;10-Aug-2015;Provoked;USA;Right hand bitten  PROVOKED INCIDENT
380;31-Jul-2015;Unprovoked;AUSTRALIA;Lacerations and puncture wounds to hip, thigh, arm and hand
381;28-Jul-2015;Unprovoked;COSTA RICA;Minor inuries to toes
382;27-Jul-2015;;AUSTRALIA;Injury to hand
